Question,Answer
what are extenuating circumstances?,"Extenuating circumstances are defined by Queen Mary as:

Circumstances that are outside a student’s control which may have a negative impact on a student’s ability to undertake or complete any assessment so as to cast doubt on the likely validity of the assessment as a measure of the student’s achievement.

Extenuating circumstances are usually personal or health problems. Health problems include your emotional wellbeing and mental health, as well as your physical health. Extenuating circumstances do not include computer problems, misreading your exam timetable, planned holidays or events, or local transport delays."
who is the head of school?, The head of School of Electronic Engineering and Computer Science is Professor Uhlig
what happens if i submit work late?,"If an assignment is submitted after the specified deadline it shall be recorded as late and a penalty shall be applied, as detailed below. If  there are valid extenuating circumstances then a penalty may be fully or partially waived:
or every period of 24 hours, or part thereof, that an assignment is overdue there shall be a deduction of five per cent of the total marks available (i.e. five marks for an assessment marked out of 100). After seven calendar days (168 hours or more late) the mark shall be reduced to zero, and recorded as 0FL (zero, fail, late)."
What are project meetings?,"Project meetings (second, third and final year, and Masters students)

Some second, third, final year and Masters modules are project-based (e.g. group projects and the final year project). Support for these modules is often in the form of weekly project meetings, either in groups or individually. During these meetings, the student, or group of students, meets with a project supervisor or consultant, who is usually a member of academic staff. This provides the student(s) with an opportunity to summarise progress since the previous project meeting, discuss any problems and possible solutions, and plan the work to be carried out before the next project meeting. The project supervisor or consultant has two main roles: academic, ensuring that the intellectual content of the work is rigorous and well considered, and project management, ensuring that a satisfactory time-plan is formed and followed."
ow are project modules typically assessed?,"Project modules are usually assessed by a project report, an oral examination (viva), and a demonstration of system software where appropriate."
Where can students find details about how different coursework elements contribute to final module assessment?,Students should refer to the module web pages or ask the module organiser for details on how different coursework elements contribute to the final module assessment.
 What is the undergraduate overall module pass mark?,The undergraduate overall module pass mark is 40%.
 What is the postgraduate overall module pass mark?,"The postgraduate, MSc, MEng, and MSci overall module pass mark is 50%."
how do  i register for my module?,Students register for their modules by logging into MySIS (their personal area of SIS) using their usual computer login. They then make preliminary module choices from a list based on the descriptions.
can i change core or compulsory modules,"No, core or compulsory modules will be preselected for students, and they cannot change these modules."
what happens if i submit an exam late?,"Submissions made up to 10 minutes late will incur a 10% deduction from the total available marks. Submissions made more than 10 minutes late will be treated as non-submissions, resulting in a grade of zero."
can i change my Programme, EECS has a strict no-change-of-programme policy. This applies to both requests to change within the school and transfers from other schools to EECS programmes.
What is QMUL's fit to sit policy?,"Queen Mary operates a fit to sit policy, which covers all assessments including coursework and exams. If you sit an exam or submit a piece of coursework you are deemed to be fit to do so. In such instances a request for extenuating circumstances will not normally be considered. If you do not feel you are well enough to attend an invigilated exam then you should not attend and should submit a claim for extenuating circumstances instead. You will need to attend a medical consultation within three days of the date of your exam that you missed. Similarly if you get sick during an exam and have to leave you will need to attend a medical consultation within three days"
